CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,BASE,ENGRENAGEM,ESTATOR E SEM FIM,CAPACITOR,TAMPA,CILINDRO,CONTROLE,Unnamed: 10
2001258,CONJ. MOVIMENTADOR DZ BRABUS SPEED 300 B. ALUMINIUM 127V 50-60HZ,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P24 127V 2 POLOS 1 ENT (AÇO),40UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
2001276,CONJ. MOVIMENTADOR DZ BRABUS SPEED 300 B. ALUMINIUM 127V 50-60HZ SEM CREMALHEIRA,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P24 127V 2 POLOS 1 ENT (AÇO),40UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
2001261,CONJ. MOVIMENTADOR DZ BRABUS SPEED 300 B. ALUMINIUM 220V 50-60HZ,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P24 220V 2 POLOS 1 ENT (AÇO),20UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
2001277,,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P24 220V 2 POLOS 1 ENT (AÇO),20UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
2001259,CONJ. MOVIMENTADOR DZ BRABUS SPEED 500 B. ALUMINIUM 127V 50-60HZ,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P28 127V 2 POLOS 1 ENT (AÇO),40UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
2001278,CONJ. MOVIMENTADOR DZ BRABUS SPEED 500 B. ALUMINIUM 127V 50-60HZ SEM CREMALH.,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P28 127V 2 POLOS 1 ENT (AÇO),40UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
2001262,CONJ. MOVIMENTADOR DZ BRABUS SPEED 500 B. ALUMINIUM 220V 50-60HZ,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P28 220V 2 POLOS 1 ENT (AÇO),20UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
2001279,CONJ. MOVIMENTADOR DZ BRABUS SPEED 500 B. ALUMINIUM 220V 50-60HZ SEM CREMALH.,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P28 220V 2 POLOS 1 ENT (AÇO),20UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
2001260,CONJ. MOVIMENTADOR DZ BRABUS SPEED 700 B. ALUMINIUM 127V 50-60HZ,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P39 127V 2 POLOS 1 ENT (AÇO),40UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
2001280,CONJ. MOVIMENTADOR DZ BRABUS SPEED 700 B. ALUMINIUM 127V 50-60HZ SEM CREMALH.,FX BRABUS,B. ALUM C/ ENCODER,NYLON 1 ENT COM IMÃ,P39 127V 2 POLOS 1 ENT (AÇO),40UF,PRETA C/ VENEZIANA,METAL,COM BORNE,
