Departamento,Unnamed: 1,Descrição,Seção,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Estoque mínimo,Estoque Máximo,Curva,Unnamed: 17,Estoque min,Estoque max,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Carteira
MOTORES,2001028,"CREMALHEIRA RESIDENCIAL 0,50 METRO GOMO ALUM MOD 4",BARRA DENTADA,3484,-824,-194,-2554,-2634,-2634,-1810,-1890,-1970,-1970,-5812,-13495,A,1555,3842,11525,1,0,0,0,1,0,,0x17
MOTORES,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,-339,-339,-661,-1202,-1202,-1702,-2082,-2897,-8297,-9368,-11511,A,518,1071,3214,0,0,0,0,0,0,,
MOTORES,2001019,CREMALHEIRA RESIDENCIAL 1 METRO GOMO PLÁSTICO MOD 4,BARRA DENTADA,0,-237,-237,-237,-262,-262,-262,-262,-262,-262,-967,-2378,A,463,705,2116,0,0,0,0,0,0,,0x17
MOTORES,2001344,CONJ. MOVIMENTADOR TRINO 300 127V LIGHT 50-60HZ LOG,DESLIZANTE LOG,15,-147,-147,-147,-147,-147,-147,-617,-617,-617,-705,-880,C,0,88,263,0,0,0,0,0,0,,
MOTORES,2007088,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO,PIVOTANTES SIMPLES,0,-73,-73,-78,-79,-79,-79,-79,-79,-79,-106,-160,C,67,27,81,0,0,0,0,0,0,,0x17
MOTORES,2001031,CONJ. MOVIMENTADOR TRINO 300 220V 50-60HZ SEM CREMALHEIRA,DESLIZANTE TRINO,0,-59,-59,-64,-82,-82,-82,-82,-82,-82,-278,-670,A,108,196,588,0,0,0,0,0,0,,
MOTORES,2007087,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,0,-43,-43,-133,-137,-137,-137,-137,-237,-287,-346,-465,C,107,59,178,0,0,0,0,0,0,,0x17
MOTORES,2008039,CONJ. MOVIMENTADOR NEW BV SPEED TURBO PRO 1/2HP FREQUENCY INVERTER BIVOLT SEM ACIONAMENTO,MOTORES NEW BV,0,-40,-40,-40,-41,-41,-41,-41,-41,-41,-99,-216,A,1,58,175,0,0,0,0,0,0,,0x17
MOTORES,2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,BASCULANTE BV,0,-37,-37,-52,-55,-355,-355,-363,-663,-963,-1220,-1735,A,446,257,772,0,0,0,0,0,0,,0x17
MOTORES,2001207,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/4 FREQUENCY INVERTER BIVOLT 50-60HZ ALUMINIUM - SEM CRE,DESLIZANTE TRINO,0,-23,-23,-23,-28,-28,-28,-28,-28,-28,-47,-84,A,2,19,56,0,0,0,0,0,0,,0x17
MOTORES,2007089,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V SEM ACIONAMENTO - DUPLO,PIVOTANTES DUPLOS,0,-15,-15,-245,-252,-252,-252,-252,-652,-852,-968,-1201,C,202,116,349,0,0,0,0,0,0,,0x17
MOTORES,2001237,CONJ. MOVIMENTADOR TRINO SPEED TURBO PRO 1/2 FREQUENCY INVERTER BIVOLT 50-60HZ B. ALUM. S. CREMALHEI,DESLIZANTE TRINO,0,-12,-12,-12,-14,-14,-14,-14,-14,-14,-17,-24,B,4,3,10,0,0,0,0,0,0,,0x17
MOTORES,2010439,ALAVANCA DESTRAVAMENTO STRONG 2000 (MODELO ANTIGO) COM CHAVE,REPOSIÇÃO E DIVERSOS -MOTOR,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-11,-13,C,0,1,3,0,0,0,0,0,0,,0x17
MOTORES,2005040,CONJ. MOVIMENTADOR P/ PORTA DE ENROLAR AC600 - 220V SEM TESTEIRA,AUTOMATIZADORES PORTA DE ENROLAR,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-41,-104,A,3,32,95,0,0,0,0,0,0,,0x17
MOTORES,2006143,CONJ. MOVIMENTADOR INTELIGENTE - IZZY SPEED TURBO PRO 1/2 FREQUENCY INVERTER 50-60HZ B. ALUMI S. CRE,DESLIZANTE INTELIGENTE IZZY,0,-3,-3,-3,-5,-5,-5,-5,-5,-5,-5,-6,C,0,0,1,0,0,0,0,0,0,,0x17
