Departamento,Unnamed: 1,Descrição,Seção,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Estoque mínimo,Estoque Máximo,Curva,Unnamed: 17,Estoque min,Estoque max,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Carteira
MOTORES,2010412,KIT DE INSTALAÇÃO DESLIZANTE COM ÍMÃ E CONTROLES (COM BORNE),REPOSIÇÃO E DIVERSOS -MOTOR,0,-200,-200,-200,-200,-200,-200,-200,-200,-200,-201,-202,C,2,1,2,0,0,0,0,0,0,,0x17
MOTORES,2010439,ALAVANCA DESTRAVAMENTO STRONG 2000 (MODELO ANTIGO) COM CHAVE,REPOSIÇÃO E DIVERSOS -MOTOR,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-11,-13,C,0,1,3,0,0,0,0,0,0,,0x17
MOTORES,2010030,PARAFUSO JASGAL PLASTIC + 5X12 MM (PROD),REPOSIÇÃO E DIVERSOS -MOTOR,6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-7,C,0,0,1,0,0,0,0,0,0,,0x17
MOTORES,2010014,CRUZETA DO MANCAL,REPOSIÇÃO E DIVERSOS -MOTOR,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-11,-29,C,2,9,27,0,0,0,0,0,0,,0x17
MOTORES,2010008,GRAXA BRANCA UNILIT NAUTIX SACHE,REPOSIÇÃO E DIVERSOS -MOTOR,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-4,C,1,1,2,0,0,0,0,0,0,,
MOTORES,2010160,BRAÇO ARTICULADO,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,-14,-24,-24,-24,-24,-24,-33,-51,C,1,9,27,0,0,0,0,0,0,,
MOTORES,2010306,"PORCA DO FUSO NEW BV P.60 Ø 5/8 1,4M A 2,0M",REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,-5,-5,-5,-5,-5,-5,-15,-35,C,0,10,30,0,0,0,0,0,0,,0x17
MOTORES,2010013,GOMO 25 CM P/ CREMALHEIRA - ALUMINIO,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,-2,-2,-2,-2,-2,-2,-84,-249,C,0,82,247,0,0,0,0,0,0,,
MOTORES,2010305,"PORCA DO FUSO NEW BV P.60 Ø 1/2 1,4M A 2,0M",REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,-1,-1,-1,-1,-1,-1,-8,-22,C,4,7,21,0,0,0,0,0,0,,0x17
MOTORES,2010114,"SENSOR DE FIM DE CURSO REED DO BASCULANTE/PIVO 1,5M",REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,0,-30,-30,-50,-50,-50,-141,-322,C,175,91,272,0,0,0,0,0,0,,0x17
MOTORES,2010047,CAP. PARTIDA 15UF/250VAC,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,0,-19,-19,-19,-19,-19,-31,-56,C,1,12,37,0,0,0,0,0,0,,0x17
MOTORES,2010156,SENSOR DE FIM DE CURSO REED DESLIZANTE,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,0,-6,-6,-11,-11,-11,-184,-531,B,202,173,520,0,0,0,0,0,0,,0x17
MOTORES,2010039,TAMPA PRETA PARA MOTOR AGL CONVENCIONAL,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,0,0,-5,-5,-5,-5,-43,-119,C,50,38,114,0,0,0,0,0,0,,0x17
MOTORES,2010155,ENGRENAGEM INTERNA BV/ PIVO AGL ZAMAC,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,0,0,0,-24,-24,-24,-100,-252,C,113,76,228,0,0,0,0,0,0,,0x17
