Produto_Pai;Desc_Pai;Codigo MP;Descricao MP;Consumo_Unitario;Atraso;Hoje;Semana1;Semana2;Semana3;Semana4;Proxima;Seguinte;Total
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;100802;TRANSMISSOR 433MHZ REMOTE - MODELO: AGL-E2  (DIGITAL KEY 6P20 BLACK);2,0;1198,0;1798,0;1798,0;1898,0;2908,0;4498,0;6248,0;7878,0;18678,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;103064;CONECTOR FÊMEA EC601V-5.08-3P GREEN BAG/BULK (EC601V-5.08-3P);1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;208003;IMÃ DE FERRITE - B40X20X10MM;2,0;1198,0;1798,0;1798,0;1898,0;2908,0;4498,0;6248,0;7878,0;18678,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;401014;PARAFUSO 2.9 X 6.5 A/A PAN PHS ZI;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;401068;ARRUELA LISA 1/4 FE ZI;4,0;2396,0;3596,0;3596,0;3796,0;5816,0;8996,0;12496,0;15756,0;37356,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;401108;PARAFUSO PLASTIC PAN PHS 5 X 25MM ZI;10,0;5990,0;8990,0;8990,0;9490,0;14540,0;22490,0;31240,0;39390,0;93390,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;401156;PARAFUSO MAD SX 1/4 X 70MM ZI;4,0;2396,0;3596,0;3596,0;3796,0;5816,0;8996,0;12496,0;15756,0;37356,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;401163;PARAFUSO PLASTIC PAN PHS 5 X 12MM ZI;2,0;1198,0;1798,0;1798,0;1898,0;2908,0;4498,0;6248,0;7878,0;18678,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;401169;PF JMP PAN PHS 3,5X14MM ZI;2,0;1198,0;1798,0;1798,0;1898,0;2908,0;4498,0;6248,0;7878,0;18678,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;401207;PF A/A JMC DRILL FL PHS C/ SERRILHA PTA BROCA 4,2X13MM ZI;4,0;2396,0;3596,0;3596,0;3796,0;5816,0;8996,0;12496,0;15756,0;37356,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;401260;PARAFUSO MQ PN HXL T25 TMA 5X45 PS 30 ZB (ROSCA COMPLETA);1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;402019;PINO ELÁSTICO 4 X 24MM;2,0;1198,0;1798,0;1798,0;1898,0;2908,0;4498,0;6248,0;7878,0;18678,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;402028;BUCHA PLASTICA N10;4,0;2396,0;3596,0;3596,0;3796,0;5816,0;8996,0;12496,0;15756,0;37356,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;403032;MOLA DE DESTRAVAMENTO DESLIZANTE;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;510027;INLUB GRAX MP 2/TI;0,034;20,37;30,57;30,57;32,27;49,44;76,47;106,22;133,93;317,53
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;512002;CONJUNTO ESTATOR E ROTOR AGL DESL P17 1/7 cv 04 42Z 220V 60HZ;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;801132;ARGOLA DA CHAVE;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;804247;BASE DA CENTRAL DESLIZANTE;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;804248;TAMPA DA CENTRAL DESLIZANTE;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;804540;BASE SUPERIOR PP DO MOTOR DESLIZANTE;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;804542;BASE INFERIOR PP MOTORES DESLIZANTES;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;811122;MANUAL P / AUTOMATIZADOR DZ/BV/NEW BV CENTRAL FLEX/LIGHT EM PORTUGUÊS;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;811306;ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;811311;ETIQUETA ADES. BOPP FOSCO C/DFAM 50MM X 25MM X 02 CAR;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;811541;SACO PLASTICO TRANSPARENTE 30CM X 15CM;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;811921;CAIXA PARDA MOTOR DESLIZANTE AGL ( MEIA ABA REFORÇADA);1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813009;ALAVANCA PARA DESTRAVAMENTO MANUAL;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813014;LINGUETA DO CILINDRO DA ALAVANCA DE DESTRAVAMENTO MANUAL DZ ZI;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813024;TAMPA PROTEÇÃO DO MOTOR - PRETA;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813096;ENGRENAGEM EXTERNA 17D PARA EIXO ESTAMPADO TRINO LIGHT/300;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813144;SUPORTE DO IMA DE FIM DE CURSO DESLIZANTE;2,0;1198,0;1798,0;1798,0;1898,0;2908,0;4498,0;6248,0;7878,0;18678,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813173;ARRUELA 1,2MM EIXO DESLIZANTE;2,0;1198,0;1798,0;1798,0;1898,0;2908,0;4498,0;6248,0;7878,0;18678,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813235;BUCHA DO EIXO DESLIZANTE SEXTAVADA;2,0;1198,0;1798,0;1798,0;1898,0;2908,0;4498,0;6248,0;7878,0;18678,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813237;PINO DESTRAVAMENTO TRINO;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813249;CILINDRO MOTOR DESLIZANTE NYLON;1,0;599,0;899,0;899,0;949,0;1454,0;2249,0;3124,0;3939,0;9339,0
2001161;CONJ. MOVIMENTADOR TRINO 300 220V Light 50-60HZ SEM CREMALHEIRA;813250;CHAVE CILINDRO MOTOR DESLIZANTE NYLON (MODELO NOVO);2,0;1198,0;1798,0;1798,0;1898,0;2908,0;4498,0;6248,0;7878,0;18678,0
