CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,CARENAGEM,ESTATOR E SEM FIM,CAPACITOR
2002005,"CONJ. MOVIMENTADOR TRINO BV4 1,5M 127V",FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF
2002006,"CONJ. MOVIMENTADOR TRINO BV4 1,5M 220V",FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF
2002007,"CONJ. MOVIMENTADOR TRINO BV4 2,0M 127V",FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF
2002010,"CONJ. MOVIMENTADOR TRINO BV3 SPEED 1,5M 127V",FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF
2002011,"CONJ. MOVIMENTADOR TRINO BV3 SPEED 1,5M 220V",FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF
2008001,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF
2008002,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF
2001343,"KIT DESLIZANTE HORIZONTAL C/ DESTRAVAMENTO MANUAL 1/3 HP 5,50MTS 220V - EX",FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF
2008003,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF
2008004,CONJ. MOVIMENTADOR TRINO BV4 220V SEM ACIONAMENTO,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF
2008005,CONJ. MOVIMENTADOR TRINO BV3 SPEED 127V SEM ACIONAMENTO,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF
2008007,CONJ. MOVIMENTADOR TRINO BV4 SPEED 127V SEM ACIONAMENTO,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF
2008008,CONJ. MOVIMENTADOR TRINO BV4 SPEED 220V SEM ACIONAMENTO,FLEX,PRETA BV,P28 220V COM SEM FIM BV 2 ENT,12UF
2008011,CONJ. MOVIMENTADOR TRINO BV3 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 127V COM SEM FIM BV 2 ENT,30UF
2008012,CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P33 220V COM SEM FIM BV 2 ENT,12UF
2008013,CONJ. MOVIMENTADOR TRINO BV4 127V SEM ACIONAMENTO GKOLL,FLEX,PRETA BV,P28 127V COM SEM FIM BV 2 ENT,30UF
