codigo,descricao
804462,Acabamento do tubo
813053,Acoplamento BV
813262,Acoplamento New BV
813009,Alavanca
813245,Alavanca industrial
813393,Aranha Industrial Inferior
813394,Aranha Industrial Superior
813239,Aranha inferior
813238,Aranha superior
804247,Base da central DZ
813038,Base da central BV
813199,Base de alumínio DZ
813171,Base do Pivo
813151,Base DZ inferior Nylon
804246,Base DZ superior Nylon
804261,Base DZ superior Nylon C/Encoder
804542,Base inf PP deslizante
813241,Base Inferior Industrial
813257,Base da central NBV
804326,Base Pivo New
804142,Base superior controle branco
804123,Base superior do controle c/logo
813153,Base superior Industrial
804540,Base Superior PP DZ
813623,Batente alumínio (novo)
813521,Borboleta
813410,Bucha de centragem DZ
813221,Bucha do mancal
811775,Caixa New BV
813260,Calço estator NBV
813271,Carcaça BV3 inferior
813270,Carcaça BV3 superior
813273,Carcaça BV4 inferior
813272,Carcaça BV4 superior
813259,Carcaça New BV com encoder
813258,Carcaça New BV inferior
813265,Carcaça New BV superior
813311,Chave PV alumínio
813250,Chavinha
813310,Cilindro da chave
813249,Cilindro Nylon
804430,Copo do rolamento
813280,Cruzeta
813529,Disco do encoder Fêmea
701147,Eixo BV
701154,Eixo DZ antigo
813525,Eixo DZ novo
813619,Eixo estampado PV
813094,Engrenagem 1 entrada nylon
804508,Engrenagem BV/PIVO
813037,Engrenagem DZ antiga
813096,Engrenagem ext DZ nova
813243,Engrenagem ext industrial
701157,Engrenagem interna industrial
813100,Engrenagem Zamac 1 Entrada
813278,Engrenagem zamac BV/Pivo
813146,Gomo alumínio
813128,Gomo alumínio industrial
813080,Gomo plástico
813127,Gomo plástico strong
813040,Mancal de centragem
813054,Mancal inferior BV
813317,Mancal superior PV
813293,Miolo do cilindro de plástico
512001,Motor P17 127V DZ
512002,Motor P17 220V DZ
512004,Motor P28 127V DZ
512005,Motor P28 220V DZ
512008,Motor P33 220V DZ
512023,Motor P80 220V IND
813511,Pino dos kit alumínio
813175,Porca 4 entradas
813176,Porca 5 entradas Antiga
804554,Porca 5 entradas Nova
813610,Porca 6 entradas NBV Nova
813177,Porca 6 entradas P60
813316,Porca fêmea
813315,Porca macho
813294,Porca plástico
813517,Porca Universal
813263,Rolamento plástico
813253,Sem fim 1 entrada aço
813255,Sem fim 2 entradas aço
813251,Sem fim alumínio
813372,Sem fim industrial/strong
813331,Suporte do imã grande
813144,Suporte do imã pequeno
813281,Suporte orelha do BV
813306,Suporte orelha New BV
813036,Tampa cinza
804248,Tampa da central
804426,Tampa da central inversora
813033,Tampa da ventoinha
813179,Tampa do BV
813409,Tampa do dz
813256,Tampa do New BV
813180,Tampa do Pivo
813034,Tampa do redutor
813248,Tampa Grafite
804327,Tampa Pivo New
813024,Tampa preta DZ
813039,Veneziana
813025,Ventoinha
813099,Zamac 2 entradas com imã
