Código,Modelo,Estator,Induzido,Sem fim,Calço,Rosca,Furo,Engrenagem,Capacitor,Placa,Jumper,Encoder,Rolamento,Kit,Tampa,Módulo,Manual,Cilindro,Etiqueta Interna,Etiqueta Tampa,Etiqueta Externa,Base,Carcaça,Parafusos Carcaça,Parafuso Lateral,Limpeza,Fuso,Engrenagem.1,Porca acionadora e fuso,Perfil,Adesivo,Kit 1,Kit 2,Cor da Etiqueta
2001031,Trino 300 220V 50-60Hz,P17 220V,,1 entrada,,,,Nylon sem imã,12uF/15uF,Flex,220V,Sem encoder,,Com Chave,Preta,,Português - Light e Flex,Plástico,Código e OP,Trino 300,Código e OP,,,,,Está ok?,,,,,,,,
2001031,Trino 300 220V 50-60Hz,P17 220V,,1 entrada,,,,Nylon sem imã,12uF/15uF,Flex,220V,Sem encoder,,Com Chave,Preta,,Português - Light e Flex,Plástico,Código e OP,Trino 300,Código e OP,,,,,Está ok?,,,,,,,,
2001031,Trino 300 220V 50-60Hz,P17 220V,,1 entrada,,,,Nylon sem imã,12uF/15uF,Flex,220V,Sem encoder,,Com Chave,Preta,,Português - Light e Flex,Plástico,Código e OP,Trino 300,Código e OP,,,,,Está ok?,,,,,,,,
2001031,Trino 300 220V 50-60Hz,P17 220V,,1 entrada,,,,Nylon sem imã,12uF/15uF,Flex,220V,Sem encoder,,Com Chave,Preta,,Português - Light e Flex,Plástico,Código e OP,Trino 300,Código e OP,,,,,Está ok?,,,,,,,,
2001031,Trino 300 220V 50-60Hz,P17 220V,,1 entrada,,,,Nylon sem imã,12uF/15uF,Flex,220V,Sem encoder,,Com Chave,Preta,,Português - Light e Flex,Plástico,Código e OP,Trino 300,Código e OP,,,,,Está ok?,,,,,,,,
2001031,Trino 300 220V 50-60Hz,P17 220V,,1 entrada,,,,Nylon sem imã,12uF/15uF,Flex,220V,Sem encoder,,Com Chave,Preta,,Português - Light e Flex,Plástico,Código e OP,Trino 300,Código e OP,,,,,Está ok?,,,,,,,,
2001032,Trino 300 127V 50-60Hz,P17 127V,,1 entrada,,,,Nylon sem imã,25uF/30uF,Flex,127V,Sem encoder,,Com Chave,Preta,,Português - Light e Flex,Plástico,Código e OP,Trino 300,Código e OP,,,,,Está ok?,,,,,,,,
2001033,Trino 300 Speed 127V 50-60Hz,P35 127V,,2 entradas,,,,Zamac com imã,50uF,Flex,127V,Com encoder,,Sem chave,Cinza,,Português - Light e Flex,Metal com Chave,Código e OP,Trino Speed 300,Código e OP,,,,,Está ok?,,,,,,,,
2001034,Trino 300 Speed 220V 50-60Hz,P35 220V,,2 entradas,,,,Zamac com imã,20uF,Flex,220V,Com encoder,,Sem chave,Cinza,,Português - Light e Flex,Metal com Chave,Código e OP,Trino Speed 300,Código e OP,,,,,Está ok?,,,,,,,,
2001035,Trino 500 127V 50-60Hz,P28 127V,,1 entrada,,,,Nylon sem imã,25uF/30uF,Flex,127V,Sem encoder,,Sem chave,Preta,,Português - Light e Flex,Metal com Chave,Código e OP,Trino 500,Código e OP,,,,,Está ok?,,,,,,,,
2001036,Trino 500 220V 50-60Hz,P28 220V,,1 entrada,,,,Nylon sem imã,12uF/15uF,Flex,220V,Sem encoder,,Sem chave,Preta,,Português - Light e Flex,Metal com Chave,Código e OP,Trino 500,Código e OP,,,,,Está ok?,,,,,,,,
2001037,Trino 500 Speed 127V 50-60Hz,P45 127V,,2 entradas,,,,Zamac com imã,50uF,Flex,127V,Com encoder,,Com Chave,Cinza/Veneziana,,Português - Light e Flex,Plástico,Código e OP,Trino Speed 500,Código e OP,,,,,Está ok?,,,,,,,,
2001038,Trino 500 Speed 220V 50-60Hz,P45 220V,,2 entradas,,,,Zamac com imã,20uF,Flex,220V,Com encoder,,Sem chave,Cinza/Veneziana,,Português - Light e Flex,Metal com Chave,Código e OP,Trino Speed 500,Código e OP,,,,,Está ok?,,,,,,,,
2001039,Trino 700 127V 50-60Hz,P35 127V,,1 entrada,,,,Zamac com imã,25uF/30uF,Flex,127V,Com encoder,,Sem chave,Preta,,Português - Light e Flex,Metal com Chave,Código e OP,Trino 700,Código e OP,,,,,Está ok?,,,,,,,,
2001040,Trino 700 220V 50-60Hz,P35 220V,,1 entrada,,,,Zamac com imã,12uF/15uF,Flex,220V,Com encoder,,Sem chave,Preta,,Português - Light e Flex,Metal com Chave,Código e OP,Trino 700,Código e OP,,,,,Está ok?,,,,,,,,
2001041,Trino 900 127V 50-60Hz,P45 127V,,1 entrada,,,,Zamac com imã,50uF,Flex,127V,Com encoder,,Sem chave,Preta/Veneziana,,Português - Light e Flex,Metal com Chave,Código e OP,Trino 900,Código e OP,,,,,Está ok?,,,,,,,,
2001042,Trino 900 220V 50-60Hz,P45 220V,,1 entrada,,,,Zamac com imã,12uF/15uF,Flex,220V,Com encoder,,Sem chave,Preta/Veneziana,,Português - Light e Flex,Metal com Chave,Código e OP,Trino 900,Código e OP,,,,,Está ok?,,,,,,,,
2001070,Trino 300 220V 50-60hz C/Cremalheira 3MT EX,P17 220V 50Hz,,Alumínio,,,,Nylon sem imã,12uF/15uF,Flex,220V,Sem encoder,,Sem chave,Preta,,Espanhol -  Light e Flex,Metal com Chave,Código e OP,Trino light,Código e OP,,,,,Está ok?,,,,,,,,
2001073,Trino 500 127V 50-60Hz EX,P28 127V,,1 entrada,,,,Nylon sem imã,25uF/30uF,Flex,127V,Sem encoder,,Sem chave,Preta,,Espanhol -  Light e Flex,Metal com Chave,Código e OP,Trino 500,Código e OP,,,,,Está ok?,,,,,,,,
2001074,Trino 500 220V 50-60Hz EX,P28 220V 50Hz,,1 entrada,,,,Nylon sem imã,12uF/15uF,Flex,220V,Sem encoder,,Sem chave,Preta,,Espanhol -  Light e Flex,Metal com Chave,Código e OP,Trino 500,Código e OP,,,,,Está ok?,,,,,,,,
2001078,Trino 700 220V 50-60Hz EX,P33 220V 50Hz,,1 entrada,,,,Zamac com imã,12uF/15uF,Flex,220V,Com encoder,,Sem chave,Preta,,Espanhol -  Light e Flex,Metal com Chave,Código e OP,Trino 700,Código e OP,,,,,Está ok?,,,,,,,,
2001079,Trino 900 127V 50-60Hz EX,P45 127V,,1 entrada,,,,Zamac com imã,50uF,Flex,127V,Com encoder,,Sem chave,Preta/Veneziana,,Espanhol -  Light e Flex,Metal com Chave,Código e OP,Trino 900,Código e OP,,,,,Está ok?,,,,,,,,
2001139,Trino 300 220V Light 50-60hz C/Cremalheira 3MT EX,P17 220V 50Hz,,Alumínio,,,,Nylon sem imã,12uF/15uF,Light,-,Sem encoder,,Sem chave,Preta,,Espanhol -  Light e Flex,Metal com Chave,Código e OP,Trino light,Código e OP,,,,,Está ok?,,,,,,,,
2001161,Trino 300 220V Light 50-60hz,P17 220V,,Alumínio,,,,Nylon sem imã,12uF/15uF,Light,-,Sem encoder,,Com Chave,Preta,,Português - Light e Flex,Plástico,Código e OP,Trino light,Código e OP,,,,,Está ok?,,,,,,,,
