Codigo MP;Descricao MP;Atraso;Hoje;Semana1;Semana2;Semana3;Semana4;Proxima;Seguinte;Total
100226;MICROCONTROLADOR  ZY-AGL 433 - REMOTE  PCB - ZYAGL.;18,0;18,0;18,0;18,0;18,0;18,0;18,0;18,0;18,0
100802;TRANSMISSOR 433MHZ REMOTE - MODELO: AGL-E2  (DIGITAL KEY 6P20 BLACK);3316,0;3648,0;3818,0;4428,0;6024,0;12510,0;16070,0;20360,0;35260,0
100817;SENSOR REED SWITCH (MODELO FLEX-14 1315);2,0;2,0;2,0;172,0;312,0;312,0;362,0;362,0;362,0
101306;CAPAC. FIXO C/DIEL. DE POLIP. BIOR. P/MOTORES CMRW CANECA PLASTICA 15uf 250V 50;518,0;391,0;391,0;491,0;738,0;1890,0;2548,0;3548,0;4948,0
101307;CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMRW CANECA PLASTICA 20uf 250V 50;62,0;72,0;72,0;77,0;90,0;90,0;90,0;90,0;90,0
101309;CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMRW CANECA PLASTICA 30UF 250V 50;299,0;199,0;209,0;313,0;342,0;479,0;679,0;1079,0;1779,0
101311;CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMRW CANECA PLASTICA 50uf 250V 50;7,0;7,0;7,0;7,0;7,0;11,0;11,0;11,0;11,0
101553;SENSOR EFEITO HALL AH3781-P-B 0,30W HALL LATCH SWITCH SIP-3 BULK (AH3781-P-B);25,0;25,0;25,0;25,0;35,0;997,0;1497,0;1997,0;3497,0
101819;BATERIA DE LITHIUM CR2032 210mAH 3V TRAY (CR2032);18,0;18,0;18,0;18,0;18,0;18,0;18,0;18,0;18,0
101889;CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMLW CANECA PLASTICA 12uf 250V;599,0;899,0;899,0;972,0;1477,0;3002,0;3877,0;4692,0;10092,0
101890;CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMLW CANECA PLASTICA 25uf 250V;167,0;167,0;247,0;312,0;312,0;782,0;782,0;782,0;782,0
101950;SENSOR MAGNÉTICO TIPO HALL AH3722A-P-B (MODELO AH3722A-P-B);39,0;39,0;39,0;43,0;60,0;60,0;60,0;60,0;60,0
102560;CONECTOR ELÉTRICO DE TORÇÃO MODELO P-1;14,0;45,0;45,0;79,0;85,0;85,0;132,0;162,0;162,0
102573;BOBINA TUBULAR PEBD LEITOSA IMPRESA P/ ACIONAMENTO DE MOTORES;2,29;9,45;9,45;17,92;21,21;26,51;45,33;183,29;269,61
102574;BOBINA TUBULAR PEBD LEITOSA LISA P/ ACIONAMENTO DE MOTORES;0,0;8,69;8,69;28,13;28,13;28,13;34,61;40,71;40,71
102806;MICRO CHAVE NS0-040D PARA BV CORRENTE;0,0;0,0;0,0;0,0;0,0;4,0;4,0;4,0;4,0
102815;FONTE DE ALIMENTAÇÃO 12V - 5A POWER SUPPLIER;14,0;45,0;45,0;79,0;85,0;85,0;132,0;162,0;162,0
103064;CONECTOR FÊMEA EC601V-5.08-3P GREEN BAG/BULK (EC601V-5.08-3P);1619,0;1752,0;1837,0;2138,0;2930,0;6173,0;7906,0;10021,0;17471,0
103130;CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L180 BOX (BLK-PH-3P L180);26,0;26,0;26,0;26,0;36,0;996,0;1496,0;1996,0;3496,0
103131;CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L500 BOX (BLK-PH-3P L500);41,0;41,0;41,0;45,0;62,0;64,0;64,0;64,0;64,0
103132;CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L1000 BOX (BLK-PH-3P L1000);0,0;36,0;36,0;112,0;116,0;116,0;148,0;166,0;166,0
103144;CABO CONECTOR TERMINAL WHITE WIRE BLK-4P 1800/650 BOX (BLK-4P 1800/650);1,0;1,0;1,0;86,0;156,0;156,0;181,0;181,0;181,0
103549;TERMINAL FASTON FEMEA ISOLADO 0,5-1,5MM;0,0;0,0;0,0;0,0;0,0;8,0;8,0;8,0;8,0
103795;FIO PARALELO 1,5MM N14BC MEGA 100M;49,14;157,95;157,95;277,29;298,35;298,35;463,32;568,62;568,62
105008;FITA DE ARQUEAR 10X0,65 AZUL C/ 3000;2,59;17,57;17,57;68,33;214,0;225,79;231,59;246,72;246,72
105068;BOBINA LAMINADA 2,00MM PRETA 23 (EVA PARA MOTORES);12,15;6,5;6,63;8,85;14,15;20,48;29,42;49,42;63,18
105069;FITA EMPACT. 50MT X 48MM ACRI;29,31;28,87;29,03;33,72;45,41;89,09;116,59;159,09;305,19
105070;FITA GOMADA APK 80 C/REFORCO IMP;0,55;0,55;0,55;0,7;0,86;0,86;1,25;1,25;1,25
105071;FITA GOMADA 80 MM COM REFORÇO;0,0;1,21;1,21;2,38;2,46;2,46;3,9;5,07;5,07
201066;ROLO ZINCADO 1,25X50 NBR-7008-ZC;49,22;475,14;475,14;1740,37;2753,09;3091,86;3260,26;3693,68;3693,68
201125;GRAMPO 35/18 UNIDADE;3662,0;2926,0;3276,0;4782,0;5034,0;11334,0;12274,0;15874,0;17374,0
201147;"TRILHO REMOVÍVEL PORTA SOCIAL -  BRUTO STLF-1196 6063 T5 NT 6000 P5"" 4 Furo";0,0;0,0;0,0;0,0;0,0;6,11;12,22;20,22;20,22
202062;AÇO RED TREF SAE 1020 5.00 SAE;0,0;0,0;0,0;2,87;3,33;3,33;3,33;3,33;3,33
208003;IMÃ DE FERRITE - B40X20X10MM;1966,0;2654,0;2814,0;3208,0;4392,0;10350,0;13100,0;15730,0;29530,0
208004;IMÃ DE FERRITE - B20X13X5MM;30,0;146,0;146,0;212,0;228,0;284,0;534,0;2164,0;3264,0
208006;ANEL ENCODER - ROUND MAGNET;58,0;58,0;58,0;58,0;73,0;1037,0;1537,0;2037,0;3537,0
301053;BORRACHA DE ISOLAMENTO ACÚSTICO DA PORTA SOCIAL;0,0;0,0;0,0;0,0;0,0;46,2;92,4;152,9;152,9
401006;PARAFUSO 4.8 X 19 PN. PH - ZI;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0;2,0
