Código,Descrição,Média,Sistema,Galpão,Divergente,%,Data,Hora,Tipo,Observação,
813146,GOMO 25CM P/ CREMALHEIRA ALUMÍNIO,76.75,0.0,7514.0,7514.0,1.0,2025-08-12,-,Inventário,,
813559,"PERFIL AL 3,0M SOL 7 STLF-0864 6063",35.111111111111114,0.0,6.0,6.0,1.0,2025-08-13,-,Inventário,,
813560,"PERFIL AL 3,5M SOL 7 STLF-0864 6063",61.2,0.0,7.0,7.0,1.0,2025-08-13,-,Inventário,,
603517,ACESSORIOS PARA AUTOMATIZADOR BRUSHLESS DC MOTOR - RECEPTOR PARA CENTRAL BRUSHLESS,101,2.0,95.0,93.0,0.9789473684210527,2025-08-19,-,Inventário,,
813375,CANTONEIRA CREMALHEIRA MOTOR INDUSTRIAL,129,2.0,36.0,34.0,0.9444444444444444,2025-08-20,-,Inventário,,
804327,TAMPA DE PROTEÇÃO DA CENTRAL NEW PIVO,191,102.0,151.0,49.0,0.32450331125827814,2025-08-26,-,Inventário,,
401218,"ABRAC UV PRETA 400X4,8",156,9.0,196.0,187.0,0.9540816326530612,2025-08-27,-,Inventário,,
801243,PORTA DO GABINETE CANCELA - CINZA,111.5,3.0,19.0,16.0,0.8421052631578947,2025-09-02,-,Inventário,,
813320,TRAVA MENOR SUPORTE FX PIVO - ZINCADO,70.25,32.0,848.0,816.0,0.9622641509433962,2025-09-11,-,Inventário,,
813320,TRAVA MENOR SUPORTE FX PIVO - ZINCADO,70.25,32.0,848.0,816.0,0.9622641509433962,2025-09-11,11:02:00,Inventário,,
813327,PINO PORTA CADEADO DZ HORIZONTAL/ESTICADOR MOLA CANCELA - ZINCADO,,0.0,826.0,826.0,1.0,2025-09-18,-,Inventário,,
804483,SUPORTE FIM DE CURSO DESLIZANTE (LADO DIREITO),74.5,113.0,2494.0,2381.0,0.954691259021652,2025-09-23,-,Inventário,,
813189,"FUSO P 7.5MM DE 3,0M E 6 ENTRADAS",65.33333333333333,6.0,22.0,16.0,0.7272727272727273,2025-09-25,-,Inventário,,
813521,SUPORTE DA BUCHA MANCAL MODELO NOVO (P/ EIXO 20MM),133,95.0,1311.0,1216.0,0.927536231884058,2025-09-25,-,Inventário,,
801231,CHAPA REFORÇO ZINCADA - BARREIRA ARTICULADA CANCELA,161,0.0,2.0,2.0,1.0,2025-09-26,-,Inventário,,
813108,SEM FIM DE DUAS ENTRADAS AÇO BV ANTIGO/ BV3/ BV4,52,16.0,848.0,832.0,0.9811320754716981,2025-09-29,-,Inventário,Emegêncial,
813240,CHAPA DE APOIO DA MOLA DE FREIO DO DESLIZANTE,168,215.0,2455.0,2240.0,0.9124236252545825,2025-10-01,-,Inventário,,
813281,SUPORTE ORELHA DO BV/PIVÔ,167,35.0,640.0,605.0,0.9453125,2025-10-03,-,Inventário,,
105069,FITA EMPACT. 50MT X 48MM ACRI,173,0.0,68.0,68.0,1.0,2025-10-05,-,Inventário,,
512002,CONJUNTO ESTATOR E ROTOR AGL DESL P17 1/7 cv 04 42Z 220V 60HZ,28.11111111111111,1.0,355.0,354.0,0.9971830985915493,2025-10-05,-,Inventário,,
412150,ESTATOR BOBINADO AGL BV/NEW BV/PIVO P33 1/4 cv 04 42z 220V 60Hz,67.33333333333333,0.0,36.0,36.0,1.0,2025-10-14,-,Inventário,,
804483,SUPORTE FIM DE CURSO DESLIZANTE (LADO DIREITO),74.5,281.0,1534.0,1253.0,0.8168187744458931,2025-10-15,-,Inventário,,
103144,CABO CONECTOR TERMINAL WHITE WIRE BLK-4P 1800/650 BOX (BLK-4P 1800/650),161,0.0,1706.0,1706.0,1.0,2025-10-17,-,Inventário,,
813175,PORCA DO FUSO DE 4 ENTRADA,,0.0,247.0,247.0,1.0,2025-10-21,-,Inventário,,
512002,CONJUNTO ESTATOR E ROTOR AGL DESL P17 1/7 cv 04 42Z 220V 60HZ,28.11111111111111,26.0,128.0,102.0,0.796875,2025-10-24,-,Inventário,,
701159,PINO DESTRAVAMENTO MOTOR DZ INDUSTRIAL,80.5,1.0,27.0,26.0,0.9629629629629629,2025-10-27,-,Inventário,,
813559,"PERFIL AL 3,0M SOL 7 STLF-0864 6063",35.111111111111114,3.0,8.0,5.0,0.625,2025-11-14,-,Inventário,,
813559,"PERFIL AL 3,0M SOL 7 STLF-0864 6063",35.111111111111114,3.0,8.0,5.0,0.625,2025-11-17,-,Inventário,,
813559,"PERFIL AL 3,0M SOL 7 STLF-0864 6063",35.111111111111114,3.0,8.0,5.0,0.625,2025-11-18,-,Inventário,,
813189,"FUSO P 7.5MM DE 3,0M E 6 ENTRADAS",65.33333333333333,6.0,22.0,16.0,0.7272727272727273,2025-11-24,-,Inventário,,
813477,EIXO DE TRAÇÃO DA PORCA ACIONADORA - ZINCADO,102,644.0,1117.0,473.0,0.423455684870188,2026-01-09,12:30:00,O.P,,
701147,EIXO PRINCIPAL DO ACIONAMENTO BV/PIVO - BRUTO,50,750.0,369.0,-381.0,-1.032520325203252,2026-01-12,12:25:00,Inventário,,
813292,BRACINHO ARTICULADO BV E NEW BV,15.333333333333334,155.0,192.0,37.0,0.19270833333333334,2026-01-12,14:29:00,Inventário,,
401201,PORCA PARLOCK MA 8MM ZB,28,288.0,525.0,237.0,0.4514285714285714,2026-01-12,11:30:00,Inventário,,
813015,FIM DE CURSO MECANICO - ZINCADO,44.666666666666664,2716.0,4683.0,1967.0,0.4200298953662182,2026-01-12,15:55:00,Inventário,,
401169,"PF JMP PAN PHS 3,5X14MM ZI",31,45000.0,50487.0,5487.0,0.10868144274763801,2026-01-12,10:30:00,O.P,,
811276,ETIQUETA ADES. COUCHE 40MM X 25MM X 02 CAR,102,191.0,9909.0,9718.0,0.9807245938036129,2026-01-12,12:07:00,Inventário,,
813128,GOMO ALUMINIO 25 CM P/ CREMALHEIRA MOTOR STRONG,133,1637.0,586.0,-1051.0,-1.7935153583617747,2026-01-13,16:22:00,Inventário,,
813017,"FUSO P 7.5MM DE 1,5M E 5 ENTRADAS",66,397.0,408.0,11.0,0.02696078431372549,2026-01-13,16:52:00,Inventário,,
701159,PINO DESTRAVAMENTO MOTOR DZ INDUSTRIAL,80.5,0.0,38.0,38.0,1.0,2026-01-13,16:22:00,Inventário,,
813179,TAMPA DA CENTRAL DO BV,20,151.0,209.0,58.0,0.27751196172248804,2026-01-13,10:41:00,Inventário,,
