id,op,codigo,descricao,quantidade,data_hora_inicio_inspecao,data_hora_fim_inspecao,possui_op,qtd_etiquetas,status,conformidade,refugo,aprovado,observacao
1,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T13:56:11.726166,2026-07-11T13:56:11.726185,True,1,teste,True,False,True,
2,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T14:01:49.911744,2026-07-11T14:01:49.912428,True,1,teste,True,False,True,
3,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T14:04:26.145639,2026-07-11T14:04:26.146454,True,1,teste,True,False,True,
4,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T14:07:38.394159,2026-07-11T14:07:38.394175,True,1,teste,True,False,True,
5,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T14:10:05.551256,2026-07-11T14:10:05.552009,True,1,teste,True,False,True,
6,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T14:11:24.317307,2026-07-11T14:11:24.317883,True,1,teste,True,False,True,
7,97380,2001031,CONJ. MOVIMENTADOR TRINO 300 220V 50-60HZ SEM CREMALHEIRA,100,2026-07-11T15:37:00,2026-07-11T15:38:00,True,1,Em análise,True,False,True,
8,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T15:43:00,2026-07-11T15:43:00,True,4,Em análise,True,False,True,
9,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T15:44:00,2026-07-11T15:45:00,True,2,Em análise,True,True,True,
10,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T15:53:00,2026-07-11T15:54:00,True,3,Em análise,True,True,True,
11,97159,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T15:54:00,2026-07-11T15:54:00,True,1,Finalizada,True,False,True,
12,97061,2001221,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA,3,2026-07-11T18:34:00,2026-07-11T18:36:00,True,3,Conforme,True,True,True,
13,97061,2001221,CONJ. MOVIMENTADOR DZ INDUSTRIAL STRONG 2000KG 220V 50-60HZ SEM CREMALHEIRA,3,2026-07-11T18:43:00,2026-07-11T18:43:00,True,1,Conforme,False,True,True,
14,97380,2001031,CONJ. MOVIMENTADOR TRINO 300 220V 50-60HZ SEM CREMALHEIRA,100,2026-07-11T19:15:00,2026-07-11T19:16:00,True,10,Em análise,True,True,True,
15,97380,2001031,CONJ. MOVIMENTADOR TRINO 300 220V 50-60HZ SEM CREMALHEIRA,100,2026-07-11T19:52:00,2026-07-11T19:53:00,True,6,Em análise,True,True,True,
16,97380,2001031,CONJ. MOVIMENTADOR TRINO 300 220V 50-60HZ SEM CREMALHEIRA,100,2026-07-11T19:58:00,2026-07-11T19:58:00,True,8,Em análise,True,False,True,
17,97380,2001031,CONJ. MOVIMENTADOR TRINO 300 220V 50-60HZ SEM CREMALHEIRA,100,2026-07-11T20:09:00,2026-07-11T20:10:00,True,11,Conforme,True,False,True,
18,97238,2008028,CONJ. MOVIMENTADOR TRINO NEW BV3 127V SEM ACIONAMENTO,13,2026-07-11T20:35:00,2026-07-11T20:36:00,True,1,Em análise,True,False,True,
19,97380,2001031,CONJ. MOVIMENTADOR TRINO 300 220V 50-60HZ SEM CREMALHEIRA,100,2026-07-11T20:57:00,2026-07-11T20:57:00,True,11,Conforme,True,False,True,"Item comproblmea na linha, rubens foi acionado"
1,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:05:15.545237,2026-07-11T21:05:15.545254,True,1,teste,True,False,True,
1,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:06:02.450534,2026-07-11T21:06:02.450925,True,1,teste,True,False,True,
1,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:06:36.132577,2026-07-11T21:06:36.135332,True,1,teste,True,False,True,
1,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:09:53.538035,2026-07-11T21:09:53.579360,True,1,teste,True,False,True,
1,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:12:14.781469,2026-07-11T21:12:14.782909,True,1,teste,True,False,True,
1,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:14:16.798346,2026-07-11T21:14:16.798673,True,1,teste,True,False,True,
1,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:18:06.269226,2026-07-11T21:18:06.269556,True,1,teste,True,False,True,
20,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:21:08.345149,2026-07-11T21:21:08.345167,True,1,teste,True,False,True,
21,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:23:00.667078,2026-07-11T21:23:00.667543,True,1,teste,True,False,True,
22,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:25:06.779862,2026-07-11T21:25:06.780262,True,1,teste,True,False,True,
23,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:26:29.946474,2026-07-11T21:26:29.947032,True,1,teste,True,False,True,
24,96663,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,200,2026-07-11T21:27:12.118861,2026-07-11T21:27:12.120656,True,1,teste,True,False,True,
