id,id_inspecao,codigo,descricao,data
1,1,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,
2,5,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA
3,6,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,11/07/2026 14:11:24
4,7,2001031,Estator,estator
5,8,2001161,Estator,estator
6,8,2001161,Sem fim,sem_fim
7,8,2001161,Engrenagem,engrenagem
8,8,2001161,Etiqueta Tampa,etiqueta_tampa
9,9,2001161,Estator,estator
10,9,2001161,Engrenagem,engrenagem
11,10,2001161,Estator,estator
12,10,2001161,Sem fim,sem_fim
13,10,2001161,Engrenagem,engrenagem
14,11,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
15,12,2001221,Estator,estator
16,12,2001221,Capacitor,capacitor
17,12,2001221,Placa,placa
18,13,2001221,Estator,estator
19,14,2001031,Estator,estator
20,14,2001031,Sem fim,sem_fim
21,14,2001031,Engrenagem,engrenagem
22,14,2001031,Placa,placa
23,14,2001031,Jumper,jumper
24,14,2001031,Base,base
25,14,2001031,Tampa,tampa
26,14,2001031,Manual,manual
27,14,2001031,Cilindro e chave,cilindro_e_chave
28,14,2001031,Etiqueta Tampa,etiqueta_tampa
29,15,2001031,Estator,estator
30,15,2001031,Sem fim,sem_fim
31,15,2001031,Engrenagem,engrenagem
32,15,2001031,Capacitor,capacitor
33,15,2001031,Placa,placa
34,15,2001031,Manual,manual
35,16,2001031,Estator,estator
36,16,2001031,Sem fim,sem_fim
37,16,2001031,Engrenagem,engrenagem
38,16,2001031,Capacitor,capacitor
39,16,2001031,Placa,placa
40,16,2001031,Jumper,jumper
41,16,2001031,Base,base
42,16,2001031,Tampa,tampa
43,17,2001031,Estator,estator
44,17,2001031,Sem fim,sem_fim
45,17,2001031,Engrenagem,engrenagem
46,17,2001031,Capacitor,capacitor
47,17,2001031,Placa,placa
48,17,2001031,Jumper,jumper
49,17,2001031,Base,base
50,17,2001031,Tampa,tampa
51,17,2001031,Manual,manual
52,17,2001031,Cilindro e chave,cilindro_e_chave
53,17,2001031,Etiqueta Tampa,etiqueta_tampa
54,18,2008028,CONJ. MOVIMENTADOR TRINO NEW BV3 127V SEM ACIONAMENTO,item_principal
55,19,2001031,Estator,estator
56,19,2001031,Sem fim,sem_fim
57,19,2001031,Engrenagem,engrenagem
58,19,2001031,Capacitor,capacitor
59,19,2001031,Placa,placa
60,19,2001031,Jumper,jumper
61,19,2001031,Base,base
62,19,2001031,Tampa,tampa
63,19,2001031,Manual,manual
64,19,2001031,Cilindro e chave,cilindro_e_chave
65,19,2001031,Etiqueta Tampa,etiqueta_tampa
66,1,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
67,1,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
68,1,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
69,1,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
70,1,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
71,1,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
72,1,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
73,20,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
74,21,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
75,22,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
76,23,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
77,24,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
78,25,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
79,26,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
80,27,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
81,28,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
82,29,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
83,30,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
84,31,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
85,32,2001161,Estator,estator
86,33,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
87,34,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
88,35,2001161,CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA,item_principal
89,36,2001035,Estator,estator
90,36,2001035,Sem fim,sem_fim
91,36,2001035,Engrenagem,engrenagem
92,36,2001035,Capacitor,capacitor
93,36,2001035,Placa,placa
94,36,2001035,Jumper,jumper
95,36,2001035,Base,base
96,36,2001035,Tampa,tampa
97,36,2001035,Manual,manual
98,36,2001035,Cilindro e chave,cilindro_e_chave
99,36,2001035,Etiqueta Tampa,etiqueta_tampa
100,37,2004050,CONJ. MOVIMENTADOR TRINO 500 127V 50-60HZ KRIPT SEM CREMALHEIRA,item_principal
101,38,2001036,Estator,estator
102,38,2001036,Sem fim,sem_fim
103,39,2001161,Estator,estator
104,39,2001161,Sem fim,sem_fim
105,39,2001161,Engrenagem,engrenagem
106,39,2001161,Capacitor,capacitor
107,39,2001161,Placa,placa
108,39,2001161,Base,base
109,39,2001161,Tampa,tampa
110,39,2001161,Manual,manual
111,40,2001161,Estator,estator
112,40,2001161,Sem fim,sem_fim
113,40,2001161,Engrenagem,engrenagem
114,40,2001161,Capacitor,capacitor
115,40,2001161,Placa,placa
116,40,2001161,Base,base
117,41,2001161,Estator,estator
118,41,2001161,Sem fim,sem_fim
119,41,2001161,Engrenagem,engrenagem
120,41,2001161,Capacitor,capacitor
