"codigo_produto";"descricao_produto";"total_sequencias";"total_semana";"quantidade_mediana";"coeficiente_variacao";"inclinacao_tendencia";"ultima_media_movel"
2001161;"CONJ. MOVIMENTADOR TRINO 300 220V LIGHT 50-60HZ SEM CREMALHEIRA";2;1;"150,0";"0,4714045207910317";"-100,0";"150,0"
2001178;"CONJ. MOVIMENTADOR TRINO 300 220V 50-60HZ SEM CREMALHEIRA COM B. ALUMINIUM";1;1;"15,0";"0,0";"0,0";"15,0"
2001189;"CONJ. MOVIMENTADOR TRINO 900 220V 50-60HZ SEM CREMALHEIRA COM B. ALUMINIUM";1;1;"6,0";"0,0";"0,0";"6,0"
2001344;"CONJ. MOVIMENTADOR TRINO 300 127V Light 50-60HZ LOG";1;0;"150,0";"0,0";"0,0";"150,0"
2006041;"CONJ. MOVIMENTADOR INTELIGENTE - IZZY 300 220V 50-60HZ SEM CREMALHEIRA";1;0;"200,0";"0,0";"0,0";"200,0"
2006080;"CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 220V SEM ACIONAMENTO";1;1;"12,0";"0,0";"0,0";"12,0"
2006094;"CONJ. MOVIMENTADOR INTELIGENTE - IZZY TRINO NEW BV3 127V SEM ACIONAMENTO";1;1;"10,0";"0,0";"0,0";"10,0"
2007052;"CONJUNTO MOVIMENTADOR TRINO PIVO 3 220V - 1,5M EX";1;0;"10,0";"0,0";"0,0";"10,0"
2007086;"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V SEM ACIONAMENTO";1;0;"12,0";"0,0";"0,0";"12,0"
2008002;"CONJ. MOVIMENTADOR TRINO BV3 220V SEM ACIONAMENTO";1;0;"100,0";"0,0";"0,0";"100,0"
2008026;"CONJ. MOVIMENTADOR TRINO NEW BV4 127V SEM ACIONAMENTO";1;1;"14,0";"0,0";"0,0";"14,0"
2008032;"CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 127V SEM ACIONAMENTO";1;1;"21,0";"0,0";"0,0";"21,0"
2008033;"CONJ. MOVIMENTADOR TRINO NEW BV3 SPEED 220V SEM ACIONAMENTO";1;1;"15,0";"0,0";"0,0";"15,0"
2008039;"CONJ. MOVIMENTADOR BV SPEED TURBO PRO 1/2HP FREQUENCY INVERTER BIVOLT SEM ACIONAMENTO";1;1;"1,0";"0,0";"0,0";"1,0"
2008042;"CONJ. MOVIMENTADOR TRINO NEW BV HEAVY 220V SEM ACIONAMENTO";1;1;"2,0";"0,0";"0,0";"2,0"
