CÓD DO PRODUTO,DESCRIÇÃO,CENTRAL,CARENAGEM,ESTATOR E SEM FIM,CAPACITOR,KIT DE INSTALAÇÃO
2004036,CONJUNTO MOVIMENTADOR TRINO PIVO 4 127V - 1M 4E KRIPT,FLEX,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2004038,CONJUNTO MOVIMENTADOR TRINO PIVO 3 127V - 1M 4E KRIPT,FLEX,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007001,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V - 0,50M",FLEX,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007002,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 0,50M",FLEX,PRETA PIVO,P33 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007003,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V - 0,75M",FLEX,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007004,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 0,75M",FLEX,PRETA PIVO,P33 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007005,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V - 1M,FLEX,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007006,CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 1M,FLEX,PRETA PIVO,P33 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007007,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V - 1,5M",FLEX,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007008,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 1,5M",FLEX,PRETA PIVO,P33 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007009,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 0,50M",FLEX,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007010,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V - 0,50M",FLEX,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007011,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 0,75M",FLEX,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007012,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V - 0,75M",FLEX,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007013,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 1M,FLEX,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007014,CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V - 1M,FLEX,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007015,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 127V - 1,5M",FLEX,PRETA PIVO,P28 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT SIMPLES
2007016,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 4 220V - 1,5M",FLEX,PRETA PIVO,P28 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT SIMPLES
2007017,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V - 0,50M - DUPLO",DUPLO,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007018,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 0,50M - DUPLO",DUPLO,PRETA PIVO,P33 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
2007019,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 127V - 0,75M - DUPLO",DUPLO,PRETA PIVO,P33 127V COM MOLA E SEM FIM BV 2 ENT,30UF,KIT DUPLO
2007020,"CONJUNTO MOVIMENTADOR TRINO PIVÔ 3 220V - 0,75M - DUPLO",DUPLO,PRETA PIVO,P33 220V COM MOLA E SEM FIM BV 2 ENT,12UF,KIT DUPLO
