codigo,descricao,quantidade,local,data_hora,responsavel,observacao
813025,Ventoinha,15,,04/04/2025 00:00:00,,
813033,Tampa da ventoinha,9,,04/04/2025 00:00:00,,
813146,Gomo alumínio,1053,,04/04/2025 00:00:00,,
813171,Base do Pivo,5,,04/04/2025 00:00:00,,
813179,Tampa do BV,7,,04/04/2025 00:00:00,,
813180,Tampa do Pivo,3,,04/04/2025 00:00:00,,
813221,Bucha do mancal,20,,04/04/2025 00:00:00,,
813258,Carcaça inferior,16,,09/04/2025 00:00:00,,
813259,Carcaça com encoder,49,,09/04/2025 00:00:00,,
813262,Acoplamento New BV,617,,04/04/2025 00:00:00,,
813265,Carcaça New BV superior,24,,04/04/2025 00:00:00,,
813265,Carcaça New BV inferior,31,,04/04/2025 00:00:00,,
813265,Carcaça superior,64,,09/04/2025 00:00:00,,
813270,BV3 superior,30,,09/04/2025 00:00:00,,
813271,Carcaça BV3 inferior,10,,04/04/2025 00:00:00,,
813271,Carcaça BV3 inferior,37,,09/04/2025 00:00:00,,
813272,Carcaça BV4 superior,2,,04/04/2025 00:00:00,,
813272,Carcaça BV4 superior,16,,09/04/2025 00:00:00,,
813273,Carcaça BV4 inferior,1,,04/04/2025 00:00:00,,
813273,BV4 inferior,29,,09/04/2025 00:00:00,,
813281,Suporte orelha do BV,219,,04/04/2025 00:00:00,,
813306,Suporte orelha New BV,297,,04/04/2025 00:00:00,,
813310,Cilindro da chave,91,,04/04/2025 00:00:00,,
813256,Tampa do New BV,1,,04/04/2025 00:00:00,,
813271,Carcaça BV3 inferior,11,Furadeiras,15/04/2025 00:00:00,,
813273,Carcaça BV4 inferior,53,Furadeiras,15/04/2025 00:00:00,,
813272,Carcaça BV4 superior,24,Furadeiras,15/04/2025 00:00:00,,
813259,Carcaça New BV com encoder,11,Furadeiras,15/04/2025 00:00:00,,
813258,Carcaça New BV inferior,13,Furadeiras,15/04/2025 00:00:00,,
813265,Carcaça New BV superior,29,Furadeiras,15/04/2025 00:00:00,,
813310,Cilindro da chave,107,PV,15/04/2025 00:00:00,,
813281,Suporte orelha do BV,135,PV,15/04/2025 00:00:00,,
813170,Carcaça BV3 superior,9,Furadeiras,15/04/2025 00:00:00,,
813040,Mancal de centragem,234,Acionamento,17/04/2025 00:00:00,,
813177,Porca 6 entradas P60,46,Acionamento,17/04/2025 00:00:00,,
813175,Porca 4 entradas,4,Acionamento,17/04/2025 00:00:00,,
813054,Mancal inferior BV,75,Acionamento,17/04/2025 00:00:00,,
804462,Acabamento do tubo,35,Acionamento,17/04/2025 00:00:00,,
813316,Porca fêmea,38,Acionamento,17/04/2025 00:00:00,,
813315,Porca macho,7,Acionamento,17/04/2025 00:00:00,,
804508,Engrenagem BV/PIVO,6,Acionamento,17/04/2025 00:00:00,,
803025,Ventoinha,12,PV,17/04/2025 00:00:00,,
813034,Tampa do redutor,47,BV,17/04/2025 00:00:00,,
813409,Tampa do dz,31,Roginei,17/04/2025 00:00:00,,
813080,Gomo plástico,169,Cremalheiras,17/04/2025 00:00:00,,
813127,Gomo plástico strong,9,Cremalheiras,17/04/2025 00:00:00,,
813271,Carcaça BV3 inferior,27,Furadeiras e Linhas,22/04/2025 00:00:00,,
813270,Carcaça BV3 superior,27,Furadeiras e Linhas,22/04/2025 00:00:00,,
813273,Carcaça BV4 inferior,25,Furadeiras e Linhas,22/04/2025 00:00:00,,
