codigo,descricao,secao,codigo_barras,quantidade_vendida
1015548,SUPORTE COMPLETO DE FIXAÇÃO PARA BARREIRA AGUSTA CINZA,REPOSIÇÃO E DIVERSOS -CANCELAS,7899884531105,60
1015601,KIT EIXO DE GIRO PARA CANCELA AGUSTA AGL ARTICULADA,REPOSIÇÃO E DIVERSOS -CANCELAS,7899884543146,4
1015555,GABINETE DA CANCELA AGUSTA BRUSHLESS S/ PORTA - CINZA,REPOSIÇÃO E DIVERSOS -CANCELAS,7899884531648,1
2010155,ENGRENAGEM 24Z DO BASCULANTE ZAMAC,REPOSIÇÃO E DIVERSOS -MOTOR,7899884529638,139
2010138,BORNE DE ENERGIA CENTRAL MOTOR,REPOSIÇÃO E DIVERSOS -MOTOR,7899884534021,9
2010256,ARANHA DO DESLIZANTE COM FURO M4,REPOSIÇÃO E DIVERSOS -MOTOR,7899884526644,1
2010306,"PORCA DO FUSO NEW BV P.60 Ø 5/8 1,4M A 2,0M",REPOSIÇÃO E DIVERSOS -MOTOR,7899884533017,1
2010437,CHAVE DE DESTRAVAMENTO NYLON NOVA PARA TRINO 300 / LIGHT AGL,REPOSIÇÃO E DIVERSOS -MOTOR,7899884554456,1
2010156,SENSOR DE FIM DE CURSO REED DESLIZANTE,REPOSIÇÃO E DIVERSOS -MOTOR,7899884532256,40
2010004,ENGRENAGEM INTERNA TRINO LIGHT 300/500 - SEM IMÃ,REPOSIÇÃO E DIVERSOS -MOTOR,7899884505083,30
2010114,"SENSOR DE FIM DE CURSO REED DO BASCULANTE/PIVO 1,5M",REPOSIÇÃO E DIVERSOS -MOTOR,7899884532218,30
2010455,KIT C/ 02 ACIONADORES DA MICRO CHAVE BV CADENA,REPOSIÇÃO E DIVERSOS -MOTOR,7899884557334,9
2010364,KIT INSTALAÇÃO PIVÔ,REPOSIÇÃO E DIVERSOS -MOTOR,7899884536612,5
2010003,ENGRENAGEM EXTERNA 17D M4 TRINO,REPOSIÇÃO E DIVERSOS -MOTOR,7899884505076,3
2010213,BOTOEIRA DE COMANANDO AGL PARA AUTO MATIZADOR PORTA DE ENROLAR,REPOSIÇÃO E DIVERSOS -MOTOR,7899884521014,3
