Departamento,Unnamed: 1,Descrição,Seção,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Estoque mínimo,Estoque Máximo,Curva,Unnamed: 17,Estoque min,Estoque max,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Carteira
MOTORES,2010155,ENGRENAGEM INTERNA BV/ PIVO AGL ZAMAC,REPOSIÇÃO E DIVERSOS -MOTOR,0,-174,-199,-199,-204,-204,-204,-204,-204,-204,-280,-432,C,14,76,228,0,0,0,0,0,0,,0x17
MOTORES,2010265,KIT FIXAÇÃO ACIONAMENTO BV,REPOSIÇÃO E DIVERSOS -MOTOR,30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-32,-35,C,0,2,5,0,0,0,0,0,0,,0x17
MOTORES,2010256,ITEM DESCONTINUADO - ARANHA DO DESLIZANTE COM FURO M4,REPOSIÇÃO E DIVERSOS -MOTOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-3,C,0,1,2,0,0,0,0,0,0,,0x17
MOTORES,2010296,EIXO DESLIZANTE COMPLETO 01 ENTRADA NYLON,REPOSIÇÃO E DIVERSOS -MOTOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,-14,C,0,4,13,0,0,0,0,0,0,,0x17
MOTORES,2010348,PORCA DO FUSO PIVOTANTE DE 2 ENTRADAS,REPOSIÇÃO E DIVERSOS -MOTOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-8,C,0,2,7,0,0,0,0,0,0,,0x17
MOTORES,2010271,ARANHA DO DESLIZANTE COM FURO M5,REPOSIÇÃO E DIVERSOS -MOTOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,C,0,0,0,0,0,0,0,0,0,,0x17
MOTORES,2010044,TAMPA BRANCA PARA MOTOR AGL IZZY SOFT/ TRINO 300 SPEED,REPOSIÇÃO E DIVERSOS -MOTOR,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-5,C,0,1,4,0,0,0,0,0,0,,
MOTORES,2010546,CAIXA MOTOR PIVO DUPLO S/ ACIONAMENTO,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,-5,-5,-5,-5,-5,-5,-5,-5,C,0,0,0,0,0,0,0,0,0,,0x17
MOTORES,2010293,SEM FIM DE AÇO 1 ENTRADA PARA TRINO 300/500/700/900 COM FURO,REPOSIÇÃO E DIVERSOS -MOTOR,0,0,0,0,-4,-4,-4,-4,-4,-4,-9,-20,C,0,5,16,0,0,0,0,0,0,,0x17
CANCELAS,1015548,SUPORTE COMPLETO DE FIXAÇÃO PARA BARREIRA AGUSTA CINZA,REPOSIÇÃO E DIVERSOS -CANCELAS,0,-53,-53,-53,-53,-53,-53,-53,-53,-53,-56,-62,C,23,3,9,0,0,0,0,0,0,,0x17
CANCELAS,1015569,TRAVA DE APOIO DA BARREIRA CANCELA AGUSTA,REPOSIÇÃO E DIVERSOS -CANCELAS,6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-10,-19,C,0,4,13,0,0,0,0,0,0,,
CANCELAS,1015601,KIT EIXO DE GIRO PARA CANCELA AGUSTA AGL ARTICULADA,REPOSIÇÃO E DIVERSOS -CANCELAS,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,C,1,0,0,0,0,0,0,0,0,,0x17
CANCELAS,1015618,PORTA DO GABINETE CANCELA - CINZA,REPOSIÇÃO E DIVERSOS -CANCELAS,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,C,0,0,1,0,0,0,0,0,0,,0x17
