"Column1","Column2","Column3","Column4","Column5"
"401102","PARAFUSO M4 X 8 CH. PH MET - ZI","701027","PARAFUSO M4 X 8 CH. PH MET - BRUTO","1"
"701027","PARAFUSO M4 X 8 CH. PH MET - BRUTO","202015","AR. BTC RECOZIDO RETREFILADO C/ ALUMINIO","0,000947"
"701044","CHAPA DE FIXAÇÃO CILINDRO DUPLO FECH PV - BRUTO","201073","CZN 1,95 x 1200 N7008 ZC Z100 CT","0,037"
"701076","NARIZ CILINDRO PV200 - BRUTO","211018","ZAMAC","0,01"
"701077","TRATOR MAÇANETA PV - BRUTO","211018","ZAMAC","0,018388"
"701078","VERGALHÃO QUADRADO 8MM PV - BRUTO","211018","ZAMAC","0,019568000000000002"
"701079","LINGUETA ZAMAC - BRUTO","211018","ZAMAC","0,065"
"701080","LUVA DO ARIETE 10MM - BRUTO","202007","BARRA Ø 7/16"" X 3M","0,001596"
"701081","DISPOSITIVO DE MEMORIA FECHO PV - BRUTO","211018","ZAMAC","0,000828"
"701082","TRAVA MAIOR FECHO PV - BRUTO","211018","ZAMAC","0,012964999999999999"
"701083","TRAVA MENOR FECHO PV - BRUTO","211018","ZAMAC","0,0039"
"701084","CAIXA DO FECHO - BRUTO","211018","ZAMAC","0,059"
"701085","ROTOR DO FECHO - BRUTO","211018","ZAMAC","0,027"
"701086","TAMPA DO FECHO DE METAL - BRUTO","201012","CHAPA AÇO SAE1006 - 1,2 X 1200 X 2000MM","0,009439999999999999"
"701090","NARIZ CILINDRO PVR - BRUTO","211018","ZAMAC","0,01"
"701092","FUNDO ZAMAC LINGUETA PVRF2E - BRUTO","211018","ZAMAC","0,254"
"701183","TESTEIRA DO FECHO - BRUTO","201044","CHAPA AÇO SAE1006 - 2,0 X 1200 X 2000MM","0,06"
"701200","PINO DA CAIXINHA DO FECHO - BRUTO","202039","AÇO RED TREF DIN 11SMnPb30 4.00 NBR 8647","0,001535"
"701226","CHAPA C/ PUXADOR PV200F1I - BRUTO","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,09"
"701227","CHAPA C/ PUXADOR PV200R2I - CROMADA","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,08"
"701228","CHAPA C/ PUXADOR PV200R1I - CROMADA","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,144"
"701229","CHAPA BATENTE PV200RF1I","201028","CHAPA INOX 304L 2000 X 1250 X 1,20MM POLIDO 2F PVC AZ","0,076"
"701230","TERMINAL DE LATÃO DO SOQUETE - BRUTO","201042","CHAPA LATÃO MD 0,4MM x 600MM x 1200MM","0,0001655"
"701263","FRENTE GR. AL FECHO - BRUTO","201056","PERFIL AL SOL 7 STLF-0232","0,029"
"704002","FUNDO FECHO PV R/F 2E - BRUTO","211018","ZAMAC","0,255"
"707003","TAMBOR DO CILINDRO P/ FECHADURA PV - BRUTO","211018","ZAMAC","0,019"
"707019","BUCHA REDONDA FECHADURA PV - BRUTO","211018","ZAMAC","0,00641"
"707020","CANHÃO DO CILINDRO FECHADURA PV - BRUTO","211018","ZAMAC","0,01474"
"707022","MAÇANETA BOLA - BRUTO","203004","LINGOTE DE ALUMINIO LIGA 306","0,077"
"707023","MAÇANETA ALAVANCA - BRUTO","203004","LINGOTE DE ALUMINIO LIGA 306","0,091"
"707029","FUNDO ALUMINIO LINGUETA PV200RF2I - BRUTO","203004","LINGOTE DE ALUMINIO LIGA 306","0,117"
"707030","FUNDO ALUMINIO FECHO PV200RF2I - BRUTO","203004","LINGOTE DE ALUMINIO LIGA 306","0,077"
"707031","FUNDO ALUMINIO LINGUETA PV200RF1I/E - BRUTO","203004","LINGOTE DE ALUMINIO LIGA 306","0,118"
"708017","CORPO DO ARIETE 4,76 X 29MM - BRUTO","202019","12L14 RED 4,76 TREF","0,003"
"708018","CORPO DO ARIETE 4,76 X 29MM C/ DIAM 1,6MM - ZINCADO","708017","CORPO DO ARIETE 4,76 X 29MM - BRUTO","1"
"708019","EIXO DO ROTOR - BRUTO","202039","AÇO RED TREF DIN 11SMnPb30 4.00 NBR 8647","0,005364"
"708021","LUVA DO ARIETE 10MM - ZINCADO","701080","LUVA DO ARIETE 10MM - BRUTO","1"
"710001","ACABAMENTO MAÇANETA BOLA - BRUTO","301005","NYLON PA 6 VIRGEM 30%FV COR NATURAL PF-1006 CQ -NAT","0,00396"
"801132","ARGOLA DA CHAVE","202050","ARAME ACO DIN 17223 CL.B 1.00MM","0,000687"
"801208","EIXO DO ROTOR - ZINCADO","708019","EIXO DO ROTOR - ZINCADO","1"
"801240","PINO DA CAIXINHA DO FECHO - ZINCADO","701200","PINO DA CAIXINHA DO FECHO - BRUTO","1"
"804406","ESPACADOR PARA FECHADURA 2 CILINDROS","301040","PECA ACRILICO CAST 210 X 297 X 2 MM LISA FM390","0,0028318903318903317"
"805076","ALUMINIO FECHADURA PV 200","201040","PERFIL AL SOL 5 STLF-0234","0,047"
"805085","CHAPA DE FIXAÇÃO CILINDRO DUPLO FECH PV - ZINCADA","701044","CHAPA DE FIXAÇÃO CILINDRO DUPLO FECH PV - BRUTO","1"
"805087","NARIZ CILINDRO PV200","211018","ZAMAC","0,01"
"805088","NARIZ CILINDRO PVR","701090","NARIZ CILINDRO PVR - BRUTO","1"
"805089","BASE FIXAÇÃO MAÇANETA","201073","CZN 1,95 x 1200 N7008 ZC Z100 CT","0,034459000000000004"
"806001","CHAPA PUXADOR PV200R2I P/ 1 OU 2 CILINDROS (MAIOR)","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,134"
"806002","FUNDO ZAMAC LINGUETA PVRF2E - BRANCO","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,006"
"806002","FUNDO ZAMAC LINGUETA PVRF2E - BRANCO","701092","FUNDO ZAMAC LINGUETA PVRF2E - BRUTO","1"
"806004","CHAPA FECHO PVR2I - CROMADA","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,07"
"806005","CHAPA PUXADOR PV200F2E P/ 1 OU 2 CILINDROS (MAIOR)","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,156"
"806006","FUNDO ALUMINIO LINGUETA PV200RF1I/E - PRETO","510028","TINTA PRETO POLIESTER TEXTURIZADO P-3901","0,003"
"806006","FUNDO ALUMINIO LINGUETA PV200RF1I/E - PRETO","707031","FUNDO ALUMINIO LINGUETA PV200RF1I/E - BRUTO","1"
"806006","FUNDO ALUMINIO LINGUETA PV200RF1I/E - PRETO","510028","TINTA PRETO POLIESTER TEXTURIZADO P-3901","0,001"
"806007","CHAPA S/ PUXADOR PVF2I - CROMADO","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,152"
"806008","CHAPA PUXADOR PV200R2E P/ 1 OU 2 CILINDROS (MAIOR)","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,158"
"806009","CHAPA PUXADOR PV200F1I/E P/ 1 OU 2 CILINDROS (MAIOR) - PRETO","806035","CHAPA PUXADOR PV200F1I/E P/ 1 OU 2 CILINDROS (MAIOR)","0,142"
"806009","CHAPA PUXADOR PV200F1I/E P/ 1 OU 2 CILINDROS (MAIOR) - PRETO","510028","TINTA PRETO POLIESTER TEXTURIZADO P-3901","0,001"
"806010","CHAPA FECHO PV200F2I - PRETA","806086","CHAPA FECHO PV200F2I - CROMADA","1"
"806010","CHAPA FECHO PV200F2I - PRETA","510028","TINTA PRETO POLIESTER TEXTURIZADO P-3901","0,001"
"806011","FUNDO ZAMAC LINGUETA PVRF2E - CINZA","510022","TINTA CINZA GRAFITE POLIESTER TEXTURIZADO C-3920","0,006"
"806011","FUNDO ZAMAC LINGUETA PVRF2E - CINZA","701092","FUNDO ZAMAC LINGUETA PVRF2E - BRUTO","1"
"806012","CHAPA FECHO PVF2I BRANCA","806086","CHAPA FECHO PV200F2I - CROMADA","1"
"806012","CHAPA FECHO PVF2I BRANCA","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,002"
"806013","CHAPA BATENTE PV200RF1E - PRETO","806036","CHAPA BATENTE PV200RF1E - CROMADO","1"
"806013","CHAPA BATENTE PV200RF1E - PRETO","510028","TINTA PRETO POLIESTER TEXTURIZADO P-3901","0,001"
"806015","CHAPA BATENTE PV200RF1I - BRANCO","806031","CHAPA BATENTE PV200RF1I - CROMADO","1"
"806015","CHAPA BATENTE PV200RF1I - BRANCO","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,001"
"806016","CHAPA FECHO PVR2E - CROMADA","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,077"
"806017","CHAPA FECHO PVR2E - PRETA","806016","CHAPA FECHO PVR2E - CROMADA","1"
"806017","CHAPA FECHO PVR2E - PRETA","510028","TINTA PRETO POLIESTER TEXTURIZADO P-3901","0,001"
"806018","CHAPA FECHO PVR2E BRANCA","806016","CHAPA FECHO PVR2E - CROMADA","1"
"806018","CHAPA FECHO PVR2E BRANCA","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,001"
"806019","CHAPA S/ PUXADOR PV200R2I - CROMADO","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,144"
"806021","CHAPA C/ PUXADOR PV200F1I - BRANCO","806028","CHAPA S/ PUXADOR PV200F1I - CROMADO","1"
"806021","CHAPA C/ PUXADOR PV200F1I - BRANCO","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,001"
"806022","CHAPA FECHO PVF2E - CROMADA","201028","CHAPA INOX 304L 2000 X 1250 X 1,20MM POLIDO 2F PVC AZ","0,07"
"806023","CHAPA FECHO PVF2E - PRETA","806022","CHAPA FECHO PVF2E - CROMADA","1"
"806023","CHAPA FECHO PVF2E - PRETA","510028","TINTA PRETO POLIESTER TEXTURIZADO P-3901","0,001"
"806024","CHAPA FECHO PVF2E BRANCA","806022","CHAPA FECHO PVF2E - CROMADA","1"
"806024","CHAPA FECHO PVF2E BRANCA","510019","TINTA BRANCO POLIESTER TEXTURIZADO B-3910","0,001"
"806025","CHAPA PUXADOR PV200RF1I P/ 1 OU 2 CILINDROS (MENOR)","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,093"
"806028","CHAPA S/ PUXADOR PVF1I - CROMADO","201027","CHAPA INOX 304L 2000 X 1250 X 1,50MM POLIDO 2F PVC AZ","0,09"
